"Code","Name","Value","ValueTypeName"
SalesDashboardsWithPrefix,SalesDashboardsWithPrefix,"'E2895654-6CE4-4EF8-A126-5F75F49D9073','C5BCB884-0543-4305-B394-730F0E88380D','04F34100-E082-449C-94FB-10F75031FAE6','222A5FB8-B4DA-4DA5-B217-EE4B268DA944'",Text
SaveAFKChatJob,SaveAFKChatJob,"",Integer
SaveEmailRecipientMacros,Сохранять значения макросов получателей перед отправкой,"",Boolean
SaveWordReportAsRecordAttachment,Save Word printables as attachments,"",Boolean
SchedulerDisplayTimingStart,Calendar start time,"",Integer
SchedulerDisplayTimingStart,Calendar start time,"",Integer
SchedulerItemsAmountPerPage,Records number on the calendar page,"",Integer
SchedulerTimingEnd,Calendar end date,"",Integer
SchedulerTimingEnd,Calendar end date,"",Integer
SchedulerTimingStart,Calendar start date,"",Integer
SchedulerTimingStart,Calendar start date,"",Integer
SchemaNamePrefix,Prefix for object name,Usr,ShortText
ScoringRulesSyncTime,Scoring rules daily sync time,"",DateTime
ScriptTemplate,Auto-generated script template on the landing page,"<div style=""font-family: &quot;Courier New&quot;, monospace; font-size: 10pt;"">&lt;script&nbsp;src=&quot;https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js&quot;&gt;&lt;/script&gt;<br>&lt;script&nbsp;src=&quot;https://webtracking-v01.bpmcrm.com/JS/track-cookies.js&quot;&gt;&lt;/script&gt;<br>&lt;script&nbsp;src=##apiUrl##&gt;&lt;/script&gt;<br>&lt;script&gt;<br>/**<br>*&nbsp;Replace&nbsp;the&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;&nbsp;placeholders&nbsp;in&nbsp;the&nbsp;code&nbsp;below&nbsp;with&nbsp;the&nbsp;element&nbsp;selectors&nbsp;on&nbsp;your&nbsp;landing&nbsp;page.<br>*&nbsp;You&nbsp;can&nbsp;use&nbsp;#id&nbsp;or&nbsp;any&nbsp;other&nbsp;CSS&nbsp;selector&nbsp;that&nbsp;will&nbsp;define&nbsp;the&nbsp;input&nbsp;field&nbsp;explicitly.<br>*&nbsp;Example:&nbsp;&quot;Email&quot;:&nbsp;&quot;#MyEmailField&quot;.<br>*&nbsp;If&nbsp;you&nbsp;don&#39;t&nbsp;have&nbsp;a&nbsp;field&nbsp;from&nbsp;the&nbsp;list&nbsp;below&nbsp;placed&nbsp;on&nbsp;your&nbsp;landing,&nbsp;leave&nbsp;the&nbsp;placeholder&nbsp;or&nbsp;remove&nbsp;the&nbsp;line.<br>*/<br>var&nbsp;config&nbsp;=&nbsp;{<br>&nbsp;&nbsp;&nbsp;&nbsp;fields:&nbsp;{<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Name&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Name&nbsp;of&nbsp;a&nbsp;visitor,&nbsp;submitting&nbsp;the&nbsp;page<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Email&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Visitor&#39;s&nbsp;email<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Zip&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Visitor&#39;s&nbsp;ZIP&nbsp;code<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;MobilePhone&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Visitor&#39;s&nbsp;phone&nbsp;number<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Company&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Name&nbsp;of&nbsp;a&nbsp;company&nbsp;(for&nbsp;business&nbsp;landing&nbsp;pages)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Industry&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Company&nbsp;industry&nbsp;(for&nbsp;business&nbsp;landing&nbsp;pages)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;FullJobTitle&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Visitor&#39;s&nbsp;job&nbsp;title&nbsp;(for&nbsp;business&nbsp;landing&nbsp;pages)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;UseEmail&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Logical&nbsp;value:&nbsp;&#39;true&#39;&nbsp;equals&nbsp;to&nbsp;visitor&#39;s&nbsp;opt-in&nbsp;to&nbsp;receive&nbsp;emails<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;City&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;City<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Country&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;,&nbsp;//&nbsp;Country<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&quot;Commentary&quot;:&nbsp;&quot;<span style=""color: #0c0cec;"">css-selector</span>&quot;##customColumnsComma##&nbsp;//&nbsp;Notes##customColumns##<br>&nbsp;&nbsp;&nbsp;&nbsp;},<br>&nbsp;&nbsp;&nbsp;&nbsp;landingId:&nbsp;##landingId##,<br>&nbsp;&nbsp;&nbsp;&nbsp;serviceUrl:&nbsp;##serviceUrl##,<br>&nbsp;&nbsp;&nbsp;&nbsp;redirectUrl:&nbsp;##redirectUrl##<br>};<br>/**<br>*&nbsp;The&nbsp;function&nbsp;below&nbsp;creates&nbsp;a&nbsp;lead&nbsp;from&nbsp;the&nbsp;submitted&nbsp;data.<br>*&nbsp;Bind&nbsp;this&nbsp;function&nbsp;call&nbsp;to&nbsp;the&nbsp;&quot;onSubmit&quot;&nbsp;event&nbsp;of&nbsp;the&nbsp;form&nbsp;or&nbsp;any&nbsp;other&nbsp;elements&nbsp;events.<br>*&nbsp;Example:&nbsp;&lt;form&nbsp;class=&quot;mainForm&quot;&nbsp;name=&quot;landingForm&quot;&nbsp;onSubmit=&quot;createLead();&nbsp;return&nbsp;false&quot;&gt;<br>*/<br>function&nbsp;createLead()&nbsp;{<br>&nbsp;&nbsp;&nbsp;&nbsp;landing.createLeadFromLanding(config)<br>}<br>&lt;/script&gt;</div>",LongText
SearchInFacebookURL,Поиск в Facebook URL,https://www.facebook.com/search/people/?q=,LongText
SearchInGoogleURL,Поиск в Google URL,https://www.google.com/search?q=,LongText
SearchInLinkedInURL,Поиск в LinkedIn URL,https://www.linkedin.com/search/results/all/?keywords=,LongText
SearchNumberLength,Number of digits for search,"",Integer
SecondReevaluationWaitingDays,Количество дней ожидания после повторного запроса оценки,"",Integer
SecondSupportLine,"2-я линия поддержки","",Lookup
SectionPanelBackgroundColor,Section panel background,#ffffff,ShortText
SectionPanelFontColor,Text in section panel,#1f5b75,ShortText
SectionPanelSelectedBackgroundColor,Selected section background,#ff7600,ShortText
SectionPanelSelectedFontColor,Text in selected section,#182438,ShortText
SendAllExchangeAppointmentNotifications,Send notifications about Exchange meetings changes,"",Boolean
SendCloseNotification,SendCloseNotification,"",Boolean
SendEmailToCaseStatusChangedAutoStart,"Автоматический запуск процесса ""Отправка email сообщения контакту о смене состояния обращения ""","",Boolean
SendEmailToCaseStatusChangedAutoStart,"Автоматический запуск процесса ""Отправка email сообщения контакту о смене состояния обращения ""","",Boolean
SendingInProgressTimeoutPeriod,"Допустимое время пребывания рассылки в состоянии ""Идет отправка"" (минуты)","",Integer
SendVisaEmail,Send email message if approval is required,"",Boolean
ServiceItemStatusDef,Состояние сервиса по умолчанию,"",Lookup
ServicePactCodeMask,Маска кода сервисного договора,{0},ShortText
ServicePactLastNumber,Текущий номер сервисного договора,"",Integer
ServicePactStatusDef,Статус сервисного договора по умолчанию,"",Lookup
ServicePactTypeDef,Тип сервисного договора по умолчанию,"",Lookup
ServiceUrl,Landing pages data collection service URL,"",LongText
ShowBrowserPopupWindowToolbars,Display pop-up window message,"",Boolean
ShowChangeStageConfirmDialog,Display message when the status/stage is changed in the workflow bar,"",Boolean
ShowConfigurationVersion,Show Configuration Version,"",Boolean
ShowDemoLinks,Display demo links,"",Boolean
ShowDemoLinks,Display demo links,"",Boolean
ShowEditPageNavigationButtons,Display navigation buttons in edit card,"",Boolean
ShowMobileLocalNotifications,Show local notifications on mobile device,"",Boolean
ShowOpenIDConnectLogin,Show OIDC provider login action,"",Boolean
ShowPreview,Show an image preview on the “Files and attachments” detail,"",Boolean
ShowUnsupportedBrowser,Displaying on the login page notification about browsers that are not supported.,"",Boolean
ShowWidgetOnIntroPage,Show widget on intro page,"",Boolean
ShowWidgetOnLoginPage,Show widget on login page,"",Boolean
SimultaneousChats,Simultaneous Chats,"",Integer
SiteUrl,Website URL,bpm.cti.ru,MediumText
SMSSendEndTime,Time to end sending text messages (SMS),"",DateTime
SMSSendStartTime,Time to start sending text messages (SMS),"",DateTime
SmtpEnableSsl,Use SSL,"",Boolean
SmtpHost,SMTP server name or IP,"",LongText
SmtpLogin,Smtp Login,"",ShortText
SmtpPort,SMTP server port,"",Integer
SmtpUserName,SMTP server login,"",LongText
SmtpUserPassword,SMTP server password,"",LongText
SocialAccountServiceUrl,Social account service URL,"",MediumText
SocialReceiverServiceUrl,Social receiver service URL,"",MediumText
SSPLogoImage,SSP Logo,"",Binary
SSPMainPage,Portal start page,"",Lookup
SSPRegistrationMailbox,SSP registration mail box,"",Lookup
SSPUserLicPackage,Licensed solution for portal users,"",Lookup
StartHandleWebHookProcessAt,Time to start parsing bulkemail responses,"",DateTime
StartOppBusinessProcess,Запускать процесс продажи,"",Boolean
StopHandleWebHookProcessAt,Time to stop parsing bulk email responses,"",DateTime
StringColumnSearchComparisonType,String columns filter,"",Integer
StringColumnSearchMinCharCount,Minimum characters necessary to filter list,"",Integer
StructureExplorerAggColumnEditPageSchemaUId,Base card page - Aggregate column,"",Lookup
StructureExplorerColumnEditPageSchemaUId,Base column card page,"",Lookup
SupplyPaymentElementCodeMask,Маска номера элемента графика поставок и оплат,{0},LongText
SupplyPaymentElementLastNumber,Текущий номер элемента графика поставок и оплат,"",Integer
SupportEmailDef,Emails to connect our technical support,support@omnichannel.ru,ShortText
SupportServiceEmail,E-mail службы поддержки,"",MediumText
SupportServiceEmail,E-mail службы поддержки,servicedesk@cti.ru,MediumText
SyncAppStructureOnce,Synchronize mobile application structure once,"",Boolean
SyncMemoryLimitToDeallocate,Memory limit for deallocation,"",Float
SysMsgFinesseDefaulNotReadyReasonCode,Code for default reason for the NOT_READY status (Finesse),"7",ShortText
SysMsgLib,Default messages exchange library,"",Lookup
SysMsgLib,Default messages exchange library,"",Lookup
SysMsgServerNode,Message exchange server,ws://your_msg_serverName:2013,ShortText
SysMsgServerNode,Message exchange server,"",ShortText
SysPrcPersistentStoreCleanupCountRows,Количество очищаемых записей таблицы SysPrcPersistentStore,"",Integer
SystemEmailIgnoreUnsubscribeFromAllMailings,"Включение опции ""Системная рассылка""","",Boolean
SystemUser,System operations user,"",Lookup
TelephonyServerTimeZone,Часовой пояс сервера для получения записи звонка,,Lookup
TemplateAngularHtml,Angular Html File Template,<div>Здесь будет ваш код</div>,MaxSizeText
TemplateAngularScss,Angular Scss File Template,// Здесь будет ваш код,MaxSizeText
TemplateAngularTs,Angular Ts File Template,"import { Component } from '@angular/core'; @Component({     selector: 'app-root',     templateUrl: './app.component.html',     styleUrls: ['./app.component.scss'],     imports: [],     standalone: true, }) export class AppComponent {     title = 'test-app-component'; }",MaxSizeText
TemplateAngularTsComponent,Angular Ts file template (Component),"import { Component, OnInit } from ""@angular/core""; import { BaseComponent } from ""apps/render-app/src/components/base/base.component"";  @Component({     selector: ""app-root"",     standalone: true,     imports: [],     templateUrl: ""./app.component.html"",     styleUrls: [""./app.component.scss""] }) export class AppComponent extends BaseComponent implements OnInit {      public ngOnInit() {         this.initBaseEntityService();     }  }",MaxSizeText
TestSendingBulkEmailContact,Контакт получателя для тестовой отправки Email,"",Lookup
TextParsingService,Text parsing cloud service,"",MediumText
TotpResetPasswordTokenTtl,TOTP Reset Password Token Ttl,"",Integer
TotpSetupTokenTtl,TOTP Setup Token Ttl,"",Integer
TrackingReceiverUrl,TrackingReceiverUrl,"",MediumText
TrackingReportUrl,TrackingReportUrl,"",MediumText
TrackingTenantUrl,TrackingTenantUrl,"",MediumText
TranslationActualizedOn,Translation actualization date,"",DateTime
TrialUrl,Trial version URL,,ShortText
TriggerEmailFailoverJobInterval,Периодичность запуска процесса доотправки триггерных рассылок (минуты),"",Integer
TrirdSupportLine,"3-я линия поддержки","",Lookup
UISCallEndTimeShift,UIS: Временной сдвиг для даты завершения звонка (Минуты),,Integer
UISCallRecordLogin,UIS: Логин для получения записи звонка,,SecureText
UISCallRecordPassword,UIS: Пароль для получения записи звонка,,SecureText
UISCallRecordToken,UIS: Токен для получения записи звонка,,SecureText
UISCallStartTimeShift,UIS: Временной сдвиг для даты начала звонка (Минуты),,Integer
UnregisterComponentsCount,Count of the components to be unregistered,"",Integer
UnregisterComponentsInterval,Interval to unregister components (ms),"",Integer
UnsubscribeApplicationUrl,"Внешний URL-адрес приложения, используемый для получения запросов отписки от Email-рассылок","",LongText
UnsubscribeFromAllMailings,Отписывать пользователя от всех рассылок,"",Boolean
UnsubscribeLink,Html текст для блока отписки,"<p><span style=""color:rgb(102, 102, 102); font-family:verdana,geneva,sans-serif; font-size:11px"">If you don't want to receive it anymore, </span><a href=""[#Unsubscribe.URL#]"" style=""font-family: verdana, geneva, sans-serif; font-size: 11px; line-height: 16.7999992370605px;""><span style=""color:rgb(46, 108, 184)"">unsubscribe</span></a><span style=""color:rgb(102, 102, 102); font-family:verdana,geneva,sans-serif; font-size:11px"">.</span></p>",LongText
UpdateNotificationStatusChunkSize,Update notification status chunk size,"",Integer
UseAdminClientIPLog,Log client IP range management events,"",Boolean
UseAdminEntitySchemaColumnLog,Log entity schema columns access rights management events,"",Boolean
UseAdminEntitySchemaExternalServiceLog,Log external resources access rights management events,"",Boolean
UseAdminEntitySchemaLog,Log administrated entities management events,"",Boolean
UseAdminEntitySchemaOperationLog,Log entity access rights management events,"",Boolean
UseAdminEntitySchemaRecordDefRightLog,Log entity schema default records access rights management events,"",Boolean
UseAdminEntitySchemaRecordRightLog,Log entity schema records access rights management events,"",Boolean
UseAdminOperationAuditLog,Log audit log operations management events,"",Boolean
UseAdminOperationImportExport,Регистрировать события управления операциями импорта и экспорта,"",Boolean
UseAdminOperationLog,Log operation access rights management events,"",Boolean
UseAdminSettingsLog,Log system settings management events,"",Boolean
UseAdminUnitAdminLog,Log organizational structure management events,"",Boolean
UseAdminUserLog,Log users management events,"",Boolean
UseAdminUserRoleLog,Log user roles management events,"",Boolean
UseDeniedOperationLog,Log denied operations management events,"",Boolean
UseFaviconFromSysSettings,Use favicon from system settings,"",Boolean
UseGoogleSharedApplication,Use shared Google application,"",Boolean
UseGoogleTagManager,Use Google tag management system,"",Boolean
UseInexactGlobalSearch,Display search results with partial match,"",Boolean
UseLMSDocumentation,Use LMS documentation,"",Boolean
UseLMSDocumentation,Use LMS documentation,"",Boolean
UseLocalizableGlobalSearchResult,Show localized data in the global search results,"",Boolean
UseMacrosTimeZoneConversion,Конвертировать даты в макросах с учетом часового пояса,"",Boolean
UseMobileCertificateAuthentication,Use authentication by certificate in mobile application,"",Boolean
UseMobileLastKnownLocation,Use last known location of user,"",Boolean
UseMobileUIV2,Use MobileUIV2,"",Boolean
UsePartnershipRight,Наследовать права партнерства,"",Boolean
UsePerformerCultureInUserTask,Create business process tasks in the owner’s language,"",Boolean
UseProcessLeadManagement,Использовать бизнес-процесс управления лидом,"",Boolean
UserLockoutDuration,User locking time,"",Integer
UserNameExpireDays,User name expiration term (days),"",Integer
UserSessionTimeout,User session timeout,"",Integer
UseTheSalesReadyLeadLifecycle,Использовать жизненный цикл готовых к продаже лидов,"",Boolean
UseUserAuthorizationLog,Log user authorization management events,"",Boolean
UseUserSessionLog,Log user sessions management events,"",Boolean
UseWarmupApp,Use application warmup,"",Boolean
UseWarmupEntities,Use object warmup,"",Boolean
UseWelcomeScreen,Use welcome window,"",Boolean
UtmCampaignDefault,Значение по умолчанию поля utm_campaign в Email,"",LongText
UtmContentDefault,Значение по умолчанию поля utm_content в Email,"",LongText
UtmMediumDefault,Значение по умолчанию поля utm_medium в Email,email,LongText
UtmSourceDefault,Значение по умолчанию поля utm_source в Email,"",LongText
UtmTermDefault,Значение по умолчанию поля utm_term в Email,"",LongText
VisaMailboxSettings,Mailbox for sending email with information on approval,"",Lookup
WbqjAnyVoipPackageUrl,Wbqj AnyVoip package Url,"",Text
WebhooksApplicationUrl,"Внешний URL-адрес приложения, используемый для получения webhooks","",LongText
WebLeadUserName,User name for registration of leads from third-party systems,"",ShortText
WebLeadUserPassword,Пароль пользователя для регистрации лида из внешних ресурсов,"",SecureText
WebRTCCancelRing,WebRTC: Звук неудачного звонка,"",Binary
WebRTCInRing,WebRTC: Звук входящего звонка,"",Binary
WebRTCOutRing,WebRTC: Звук исходящего звонка,"",Binary
WelcomeScreenVideoUrl,Link to start page video,https://www.youtube.com/watch?v=ZDAz9EgdZ1M&ab_channel=BPMSoft,ShortText
WorkingHoursPerDayAmount,Number of working hours in working day,"",Integer
WorkStateDef,Operating status,"",Lookup
YandexMapsDistanceMatrixRouteDetailsKey,Ключ Яндекс Карт Матрица расстояний + Детали маршрута,,SecureText
YandexMapsJavaScriptApiGeocoderKey,Ключ Яндекс Карт JavaScript API + Геокодер,,SecureText
YandexMapsTilesApiKey,Ключ Яндекс Карт Tiles API,,SecureText
